sample	condition
tr_1_dt_food_sc	WT_food_sc
tr_3_dt_food_sc	WT_food_sc
tr_5_dt_food_sc	WT_food_sc
tr_7_dt_food_sc	WT_nic_food_sc
tr_9_dt_food_sc	WT_nic_food_sc
tr_11_dt_food_sc	WT_nic_food_sc
tr_13_dt_food_sc	WT_food_sc
tr_15_dt_food_sc	WT_food_sc
tr_17_dt_food_sc	WT_food_sc
tr_19_dt_food_sc	WT_nic_food_sc
tr_21_dt_food_sc	WT_nic_food_sc
tr_23_dt_food_sc	WT_nic_food_sc
tr_25_dt_food_sc	WT_food_sc
tr_27_dt_food_sc	WT_food_sc
tr_29_dt_food_sc	WT_food_sc
tr_31_dt_food_sc	WT_nic_food_sc
tr_33_dt_food_sc	WT_nic_food_sc
tr_35_dt_food_sc	WT_nic_food_sc
tr_37_dt_food_sc	WT_food_sc
tr_39_dt_food_sc	WT_food_sc
tr_41_dt_food_sc	WT_food_sc
tr_43_dt_food_sc	WT_nic_food_sc
tr_45_dt_food_sc	WT_nic_food_sc
tr_47_dt_food_sc	WT_nic_food_sc
tr_48_dt_food_sc	WT_nic_food_sc
tr_2_dt_food_sc	CB1_nic_food_sc
tr_4_dt_food_sc	CB1_nic_food_sc
tr_6_dt_food_sc	CB1_food_sc
tr_8_dt_food_sc	CB1_food_sc
tr_10_dt_food_sc	CB1_food_sc
tr_12_dt_food_sc	CB1_nic_food_sc
tr_14_dt_food_sc	CB1_nic_food_sc
tr_16_dt_food_sc	CB1_nic_food_sc
tr_18_dt_food_sc	CB1_food_sc
tr_20_dt_food_sc	CB1_food_sc
tr_22_dt_food_sc	CB1_food_sc
tr_24_dt_food_sc	CB1_nic_food_sc
tr_26_dt_food_sc	CB1_nic_food_sc
tr_28_dt_food_sc	CB1_nic_food_sc
tr_30_dt_food_sc	CB1_food_sc
tr_32_dt_food_sc	CB1_food_sc
tr_34_dt_food_sc	CB1_food_sc
tr_36_dt_food_sc	CB1_nic_food_sc
tr_38_dt_food_sc	CB1_nic_food_sc
tr_40_dt_food_sc	CB1_nic_food_sc
tr_42_dt_food_sc	CB1_food_sc
tr_44_dt_food_sc	CB1_food_sc
tr_46_dt_food_sc	CB1_food_sc
tr_1_dt_food_fat	WT_food_fat
tr_3_dt_food_fat	WT_food_fat
tr_5_dt_food_fat	WT_food_fat
tr_7_dt_food_fat	WT_nic_food_fat
tr_9_dt_food_fat	WT_nic_food_fat
tr_11_dt_food_fat	WT_nic_food_fat
tr_13_dt_food_fat	WT_food_fat
tr_15_dt_food_fat	WT_food_fat
tr_17_dt_food_fat	WT_food_fat
tr_19_dt_food_fat	WT_nic_food_fat
tr_21_dt_food_fat	WT_nic_food_fat
tr_23_dt_food_fat	WT_nic_food_fat
tr_25_dt_food_fat	WT_food_fat
tr_27_dt_food_fat	WT_food_fat
tr_29_dt_food_fat	WT_food_fat
tr_31_dt_food_fat	WT_nic_food_fat
tr_33_dt_food_fat	WT_nic_food_fat
tr_35_dt_food_fat	WT_nic_food_fat
tr_37_dt_food_fat	WT_food_fat
tr_39_dt_food_fat	WT_food_fat
tr_41_dt_food_fat	WT_food_fat
tr_43_dt_food_fat	WT_nic_food_fat
tr_45_dt_food_fat	WT_nic_food_fat
tr_47_dt_food_fat	WT_nic_food_fat
tr_48_dt_food_fat	WT_nic_food_fat
tr_2_dt_food_fat	CB1_nic_food_fat
tr_4_dt_food_fat	CB1_nic_food_fat
tr_6_dt_food_fat	CB1_food_fat
tr_8_dt_food_fat	CB1_food_fat
tr_10_dt_food_fat	CB1_food_fat
tr_12_dt_food_fat	CB1_nic_food_fat
tr_14_dt_food_fat	CB1_nic_food_fat
tr_16_dt_food_fat	CB1_nic_food_fat
tr_18_dt_food_fat	CB1_food_fat
tr_20_dt_food_fat	CB1_food_fat
tr_22_dt_food_fat	CB1_food_fat
tr_24_dt_food_fat	CB1_nic_food_fat
tr_26_dt_food_fat	CB1_nic_food_fat
tr_28_dt_food_fat	CB1_nic_food_fat
tr_30_dt_food_fat	CB1_food_fat
tr_32_dt_food_fat	CB1_food_fat
tr_34_dt_food_fat	CB1_food_fat
tr_36_dt_food_fat	CB1_nic_food_fat
tr_38_dt_food_fat	CB1_nic_food_fat
tr_40_dt_food_fat	CB1_nic_food_fat
tr_42_dt_food_fat	CB1_food_fat
tr_44_dt_food_fat	CB1_food_fat
tr_46_dt_food_fat	CB1_food_fat
