CAGE	StartT	EndT	Nature	Value
37	1225090800	1225090801	water	0.00001
37	1225099497	1225099537	water	0.02
37	1225100852	1225100877	water	0.02
37	1225102941	1225102973	food_fat	0.02
37	1225103179	1225103210	food_fat	0.02
37	1225103242	1225103284	food_fat	0.04
37	1225104122	1225104145	water	0.02
37	1225104779	1225104793	food_fat	0.02
37	1225104931	1225104975	food_fat	0.02
37	1225105185	1225105197	food_fat	0.02
37	1225105206	1225105224	food_fat	0.02
37	1225105823	1225105869	saccharin	0.04
37	1225105904	1225105914	water	0.04
37	1225106025	1225106042	food_fat	0.04
37	1225106157	1225106169	saccharin	0.02
37	1225106505	1225106536	food_fat	0.04
37	1225106715	1225106774	saccharin	0.02
37	1225106806	1225106828	water	0.02
37	1225107074	1225107091	saccharin	0.02
37	1225107602	1225107652	food_fat	0.04
37	1225108779	1225108795	water	0.04
37	1225109349	1225109401	food_fat	0.06
37	1225109825	1225109865	saccharin	0.02
37	1225109994	1225110014	food_sc	0.02
37	1225110072	1225110088	food_sc	0.02
37	1225110342	1225110358	saccharin	0.02
37	1225112015	1225112053	food_fat	0.04
37	1225112181	1225112222	food_fat	0.08
37	1225113049	1225113077	food_fat	0.02
37	1225113661	1225113694	food_fat	0.04
37	1225114221	1225114246	food_fat	0.0600000000000001
37	1225116476	1225116499	food_fat	0.02
37	1225116641	1225116674	food_fat	0.0600000000000001
37	1225117000	1225117063	food_fat	0.08
37	1225117071	1225117112	water	0.12
37	1225117115	1225117149	saccharin	0.04
37	1225118224	1225118255	water	0.06
37	1225118505	1225118556	food_fat	0.04
37	1225118614	1225118638	food_fat	0.02
37	1225118987	1225119035	water	0.1
37	1225119464	1225119480	saccharin	0.02
37	1225120724	1225120767	food_fat	0.0599999999999999
37	1225121667	1225121721	food_fat	0.1
37	1225123397	1225123417	food_fat	0.02
37	1225124733	1225124861	food_fat	0.16
37	1225126617	1225126687	food_fat	0.12
37	1225126774	1225126797	water	0.12
37	1225126818	1225126845	food_fat	0.02
37	1225128463	1225128512	food_fat	0.0799999999999998
37	1225128582	1225128602	food_fat	0.04
37	1225130416	1225130455	water	0.1
37	1225131293	1225131321	food_fat	0.04
37	1225131602	1225131641	food_fat	0.04
37	1225133546	1225133585	food_fat	0.04
37	1225133662	1225133718	water	0.0599999999999999
37	1225133732	1225133755	water	0.1
37	1225133951	1225134005	food_fat	0.0800000000000001
37	1225135162	1225135191	food_fat	0.04
37	1225135607	1225135679	food_fat	0.0999999999999999
37	1225135689	1225135716	food_fat	0.04
37	1225135952	1225135979	water	0.12
37	1225136362	1225136395	saccharin	0.02
37	1225137344	1225137356	food_fat	0.0799999999999998
37	1225137534	1225137588	food_fat	0.02
37	1225138268	1225138291	water	0.04
37	1225138290	1225138334	food_sc	0.02
37	1225138596	1225138609	food_fat	0.02
37	1225138642	1225138666	water	0.02
37	1225138829	1225138847	saccharin	0.02
37	1225138901	1225138955	water	0.0800000000000001
37	1225139477	1225139489	water	0.02
37	1225139638	1225139669	food_fat	0.02
37	1225139810	1225139848	food_fat	0.02
37	1225139862	1225139894	food_fat	0.04
37	1225140010	1225140027	food_fat	0.02
37	1225140138	1225140169	water	0.0799999999999998
37	1225140195	1225140213	food_fat	0.02
37	1225141305	1225141323	food_fat	0.04
37	1225141847	1225141880	food_fat	0.02
37	1225142457	1225142508	water	0.0600000000000001
37	1225142650	1225142668	food_fat	0.04
37	1225142929	1225142947	water	0.0600000000000001
37	1225143837	1225143853	water	0.02
37	1225144345	1225144364	food_fat	0.04
37	1225144440	1225144467	food_fat	0.04
37	1225144551	1225144566	water	0.0599999999999998
37	1225144617	1225144689	food_fat	0.12
37	1225144696	1225144720	food_fat	0.02
37	1225144829	1225144848	water	0.02
37	1225145311	1225145343	water	0.0600000000000001
37	1225146175	1225146199	water	0.0800000000000001
37	1225146387	1225146410	food_fat	0.02
37	1225147090	1225147105	water	0.02
37	1225147260	1225147305	food_fat	0.02
37	1225151671	1225151712	food_fat	0.04
37	1225152051	1225152079	food_fat	0.0600000000000001
37	1225152297	1225152312	water	0.02
37	1225152475	1225152495	water	0.04
37	1225152986	1225153000	food_fat	0.02
37	1225154514	1225154550	water	0.18
